date posted (GMT),title,address,distance (km),price,post_url
"September 1, 2017 12:57 AM",3 Bedroom Lower Unit - Albert & Columbia,"Waterloo, ON N2L3Y4",1.434,"$1,100.00","<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/3-bedroom-lower-unit-albert-columbia/1293994294"">link</a>"
"August 17, 2017 8:08 AM",TOURS THUR 24 - SUN. 27.(12 & 6 P.M.) - Co-ed Student Rental,"Waterloo, ON N2L5H3",1.015,$625.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/tours-thur-24-sun-27-12-6-p-m-co-ed-student-rental/1290187136"">link</a>"
"September 4, 2017 10:08 PM",close to U of W/ 425 all in/ no lease,"Waterloo, ON N2L5N4",1.802,$425.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/close-to-u-of-w-425-all-in-no-lease/1295059684"">link</a>"
"September 7, 2017 8:17 PM",Great furnished room for rent (All included) near UW campus,"Waterloo, ON N2L6B4",1.873,$480.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/great-furnished-room-for-rent-all-included-near-uw-campus/1295854053"">link</a>"
"September 1, 2017 4:37 PM",Female Only House Onsite Laundry n All Utilities Incl.,"Waterloo, ON N2L4W3",2.565,$490.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/female-only-house-onsite-laundry-n-all-utilities-incl/1294166801"">link</a>"
"August 20, 2017 5:56 AM",Bauer Lofts 1 bedroom for rent in 2 bed 2 bath,"Waterloo, ON N2J1R1",2.106,"$1,200.00","<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/bauer-lofts-1-bedroom-for-rent-in-2-bed-2-bath/1290919909"">link</a>"
"August 30, 2017 6:28 PM",Female Only House ALL Utilities Onsite Laundry Incl. Waterloo,"Waterloo, ON N2L4W3",2.565,$490.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/female-only-house-all-utilities-onsite-laundry-incl-waterloo/1293684400"">link</a>"
"August 15, 2017 12:54 PM",Waterloo students: all inclusive large clean room,"Waterloo, ON N2L4G1",2.46,$599.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/waterloo-students:-all-inclusive-large-clean-room/1289684637"">link</a>"
"August 15, 2017 2:33 AM","148 Bridgeport Rd, Waterloo - Rooms For Rent, Close to Uptown","148 Bridgeport Rd E, Waterloo, ON N2J 2K4, Canada",2.577,$500.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/148-bridgeport-rd-waterloo-rooms-for-rent-close-to-uptown/1082125302"">link</a>"
"September 5, 2017 10:03 PM",ONE LAST FEMALE ONLY ROOM @ 81 COLUMBIA- 3 MONTHS FREE,"81 Columbia Street W, Waterloo, ON, N2L 3K7",1.222,$595.00,"<a href=""https://www.kijiji.ca/v-room-rental-roommate/kitchener-waterloo/one-last-female-only-room-81-columbia-3-months-free/1285847428"">link</a>"
